شماره,نام_محصول,sku,مدل,دسته_بندی,قیمت_اصلی,قیمت_فروش,رنگ,موجودی,وضعیت,تعداد_عکس_گالری,کاربرد,محفظه_های_کیف,نوع_کیف,نحوه_بسته_شدن_کیف,جنس_آستر,بند_بلند,تعداد_جیب_داخلی,تعداد_جیب_بیرونی,تعداد_بند,جنس_رویه,مناسب_برای,طول,عرض,کف,توضیحات_کوتاه,توضیحات_کامل,قیمت_اصلی_قبل,قیمت_فروش_قبل,قیمت_اصلی_بعد,قیمت_فروش_بعد,sale_tag
1,کوله پشتی کد 9266,9266,9266, کوله ‌پشتی,1799000,,زرشکی | مشکی,,OK,4,روزمره,,,زیپ,ساتن,دارد,,7,2,پارچه ای,,45cm,15cm,35cm,,,1564000,,1799000,,
2,کوله پشتی کد 9321,9321,9321, کوله ‌پشتی,1676000,,آبی | سبز | سرمه ای | قرمز | مشکی,,OK,9,مدرسه|دانشگاه,,,زیپ,ساتن,دارد,1,8,5,پارچه ای,,55cm,25cm,30cm,,,1457000,,1676000,,
3,کوله پشتی کد 9280,9280,9280, کوله ‌پشتی,687000,,طوسی تیره نانسی,,OK,5,روزمره,,,زیپ,ساتن,دارد,,6,2,پارچه ای,,40cm,10cm,30cm,,,597000,,687000,,
4,کوله پشتی کد 9272,9272,9272, کوله ‌پشتی,1281000,1089000,سبز | سبز مغز پسته ای | سرمه ای | صورتی | طوسی تیره,,OK,9,مدرسه|دانشگاه,,,زیپ,ساتن,دارد,,6,2,پارچه ای,,40cm,15cm,30cm,,,947000,,1281000,1089000,تخفیف خورده‌ها
5,کوله پشتی کد 9000,9000,9000, کوله ‌پشتی,912000,775000,سفید MK درشت | سفید MK ریز | سفید چهارخونه | سفید دیور | عسلی فندی | قهوه ای لویی ویتون درشت | قهوه ای لویی ویتون ریز | کرم چهارخونه | کرم گوچی ریز | مشکی چهارخونه داغی | مشکی لویی ویتون داغی | مشکی لیزارد,,OK,9,اسپرت,,,زیپ,ساتن,دارد,1,2,2,چرم مصنوعی,,30cm,10cm,25cm,,,674000,,912000,775000,تخفیف خورده‌ها
6,کوله پشتی کد 9360,9360,9360, کوله ‌پشتی,1305000,1109000,سرمه ای طرح 1 | طوسی تیره طرح 1 | مشکی طرح 1,,OK,7,اسپرت,,,زیپ,ساتن,دارد,,4,3,پارچه ای,,40cm,15cm,35cm,,,964000,,1305000,1109000,تخفیف خورده‌ها
7,کوله پشتی کد 9357,9357,9357, کوله ‌پشتی,2558000,,سرمه ای,,OK,4,مدرسه|دانشگاه,,,زیپ,ساتن,,2,5,2,پارچه ای,,48cm,12cm,39cm,,,2224000,,2558000,,
