post_type,post_title,post_status,sku,parent_sku,regular_price,sale_price,manage_stock,stock_quantity,categories,description,short_description,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_opengraph-title,meta:_yoast_wpseo_opengraph-description,meta:_yoast_wpseo_twitter-title,meta:_yoast_wpseo_twitter-description,images,gallery_images,gallery_image_alt,image_filename,image_titles,image_alt,sale_tag,attribute:color,attribute_name:color,attribute:application,attribute_name:application,attribute:closure-style,attribute_name:closure-style,attribute:lining-material,attribute_name:lining-material,attribute:long-strap,attribute_name:long-strap,attribute:number-of-inside-pockets,attribute_name:number-of-inside-pockets,attribute:number-of-outside-pockets,attribute_name:number-of-outside-pockets,attribute:number-of-straps,attribute_name:number-of-straps,attribute:outer-material,attribute_name:outer-material,attribute:dimention,attribute_name:dimention
product_variation,,publish,9321-green,9321,1676000,,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9321-main.webp,,,backpack-9321-main.webp,کوله پشتی کد ۹۳۲۱ - سبز,کوله پشتی کد ۹۳۲۱ - سبز,,سبز,رنگ,,,,,,,,,,,,,,,,,,
product_variation,,publish,9321-navy blue,9321,1676000,,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9321-blue.webp,,,backpack-9321-blue.webp,کوله پشتی کد ۹۳۲۱ - سرمه ای,کوله پشتی کد ۹۳۲۱ - سرمه ای,,سرمه ای,رنگ,,,,,,,,,,,,,,,,,,
product_variation,,publish,9321-red,9321,1676000,,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9321-main.webp,,,backpack-9321-main.webp,کوله پشتی کد ۹۳۲۱ - قرمز,کوله پشتی کد ۹۳۲۱ - قرمز,,قرمز,رنگ,,,,,,,,,,,,,,,,,,
product_variation,,publish,9321-black,9321,1676000,,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9321-black.webp,,,backpack-9321-black.webp,کوله پشتی کد ۹۳۲۱ - مشکی,کوله پشتی کد ۹۳۲۱ - مشکی,,مشکی,رنگ,,,,,,,,,,,,,,,,,,
product,کوله پشتی کد ۹۳۵۷,publish,9357,,2558000,,yes,10,کوله پشتی,,,کوله پشتی کد 9357,خرید کوله پشتی کد 9357 به رنگ سرمه ای با کیفیت عالی و قیمت مناسب از فروشگاه لوکس‌باز,کوله پشتی کد 9357,https://luxbaz.com/product/backpack-9357/,کوله پشتی کد 9357 | خرید آنلاین,خرید کوله پشتی کد 9357 به رنگ سرمه ای با کیفیت عالی و قیمت مناسب از فروشگاه لوکس‌باز,کوله پشتی کد 9357,خرید کوله پشتی کد 9357 به رنگ سرمه ای با کیفیت عالی و قیمت مناسب از فروشگاه لوکس‌باز,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9357-main.webp,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9357-main.webp|https://luxbaz.com/wp-content/uploads/2026/07/backpack-9357-navy-blue.webp,کوله پشتی کد 9357|کوله پشتی کد 9357 رنگ navy blue,backpack-9357-main.webp|backpack-9357-navy-blue.webp,,کوله پشتی کد 9357,,سرمه ای,رنگ,مدرسه|دانشگاه,کاربرد,زیپ,نحوه بسته شدن کیف,ساتن,جنس آستر,,,2.0,تعداد جیب داخلی,5,تعداد جیب بیرونی,2,تعداد بند,پارچه ای,جنس رویه,طول: ۴۸cm|عرض: ۱۲cm|کف: ۳۹cm,dimention
product_variation,,publish,9357-navy blue,9357,2558000,,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9357-navy-blue.webp,,,backpack-9357-navy-blue.webp,کوله پشتی کد ۹۳۵۷ - سرمه ای,کوله پشتی کد ۹۳۵۷ - سرمه ای,,سرمه ای,رنگ,,,,,,,,,,,,,,,,,,
product,کوله پشتی کد ۹۳۶۰,publish,9360,,1305000,1109000.0,yes,10,کوله پشتی,,,کوله پشتی کد 9360,خرید کوله پشتی کد 9360 به رنگ سرمه ای طرح 1 و طوسی تیره طرح 1 و مشکی طرح 1 با کیفیت عالی و قیمت مناسب از فروشگاه لوکس‌باز,کوله پشتی کد 9360,https://luxbaz.com/product/backpack-9360/,کوله پشتی کد 9360 | خرید آنلاین,خرید کوله پشتی کد 9360 به رنگ سرمه ای طرح 1 و طوسی تیره طرح 1 و مشکی طرح 1 با کیفیت عالی و قیمت مناسب از فروشگاه لوکس‌باز,کوله پشتی کد 9360,خرید کوله پشتی کد 9360 به رنگ سرمه ای طرح 1 و طوسی تیره طرح 1 و مشکی طرح 1 با کیفیت عالی و قیمت مناسب از فروشگاه لوکس‌باز,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9360-main.webp,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9360-main.webp|https://luxbaz.com/wp-content/uploads/2026/07/backpack-9360-navy-pattern-1.webp|https://luxbaz.com/wp-content/uploads/2026/07/backpack-9360-dark-gray-pattern-1.webp|https://luxbaz.com/wp-content/uploads/2026/07/backpack-9360-black-design-1.webp,کوله پشتی کد 9360|کوله پشتی کد 9360 رنگ navy pattern 1|کوله پشتی کد 9360 رنگ dark gray pattern 1|کوله پشتی کد 9360 رنگ black - design 1,backpack-9360-main.webp|backpack-9360-navy-pattern-1.webp|backpack-9360-dark-gray-pattern-1.webp|backpack-9360-black-design-1.webp,,کوله پشتی کد 9360,تخفیف خورده ها,سرمه ای طرح 1|طوسی تیره طرح 1|مشکی طرح 1,رنگ,اسپرت,کاربرد,زیپ,نحوه بسته شدن کیف,ساتن,جنس آستر,دارد,بند بلند,,,4,تعداد جیب بیرونی,3,تعداد بند,پارچه ای,جنس رویه,طول: ۴۰cm|عرض: ۱۵cm|کف: ۳۵cm,dimention
product_variation,,publish,9360-navy pattern 1,9360,1305000,1109000.0,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9360-navy-pattern-1.webp,,,backpack-9360-navy-pattern-1.webp,کوله پشتی کد ۹۳۶۰ - سرمه ای طرح 1,کوله پشتی کد ۹۳۶۰ - سرمه ای طرح 1,,سرمه ای طرح 1,رنگ,,,,,,,,,,,,,,,,,,
product_variation,,publish,9360-dark gray pattern 1,9360,1305000,1109000.0,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9360-dark-gray-pattern-1.webp,,,backpack-9360-dark-gray-pattern-1.webp,کوله پشتی کد ۹۳۶۰ - طوسی تیره طرح 1,کوله پشتی کد ۹۳۶۰ - طوسی تیره طرح 1,,طوسی تیره طرح 1,رنگ,,,,,,,,,,,,,,,,,,
product_variation,,publish,9360-black - design 1,9360,1305000,1109000.0,yes,10,,,,,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/backpack-9360-black-design-1.webp,,,backpack-9360-black-design-1.webp,کوله پشتی کد ۹۳۶۰ - مشکی طرح 1,کوله پشتی کد ۹۳۶۰ - مشکی طرح 1,,مشکی طرح 1,رنگ,,,,,,,,,,,,,,,,,,
